
Loading weights:   0%|          | 0/290 [00:00<?, ?it/s]
Loading weights: 100%|██████████| 290/290 [00:00<00:00, 5301.17it/s]
loaded_checkpoint=outputs/stage5/stage5_synthetic_depth_staged_staircase_20260701_180040/restored/primitive_checkpoint.pt loaded_keys=157
checkpoint_lora_key_counts=loaded_lora_keys=0 skipped_lora_keys=0
step=0 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0301 expected_ce=0.0301 target_mean_loops=2.0000 target_loop_abs_error=0.1500 loss=0.0301 pre_clip_bridge_prelude_grad_rms=0.0048 pre_clip_bridge_state_grad_rms=0.0081 bridge_prelude_grad_rms=0.0001 bridge_state_grad_rms=0.0001 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0000 bridge_prelude_weight_max_abs=0.0000 bridge_state_identity_max_abs_diff=0.0000
step=275 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0001 bridge_prelude_weight_max_abs=0.0007 bridge_state_identity_max_abs_diff=0.0008
step=300 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0002 bridge_prelude_weight_max_abs=0.0007 bridge_state_identity_max_abs_diff=0.0008
step=325 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0002 bridge_prelude_weight_max_abs=0.0007 bridge_state_identity_max_abs_diff=0.0009
step=350 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.4375 expected_ce=0.4375 target_mean_loops=2.0000 target_loop_abs_error=0.1500 loss=0.4375 pre_clip_bridge_prelude_grad_rms=0.0092 pre_clip_bridge_state_grad_rms=0.0141 bridge_prelude_grad_rms=0.0001 bridge_state_grad_rms=0.0001 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0002 bridge_prelude_weight_max_abs=0.0008 bridge_state_identity_max_abs_diff=0.0009
step=375 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0002 bridge_prelude_weight_max_abs=0.0007 bridge_state_identity_max_abs_diff=0.0009
step=400 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0002 bridge_prelude_weight_max_abs=0.0008 bridge_state_identity_max_abs_diff=0.0010
step=425 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.3016 expected_ce=0.3016 target_mean_loops=2.0000 target_loop_abs_error=0.1500 loss=0.3016 pre_clip_bridge_prelude_grad_rms=0.0113 pre_clip_bridge_state_grad_rms=0.0168 bridge_prelude_grad_rms=0.0001 bridge_state_grad_rms=0.0001 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0002 bridge_prelude_weight_max_abs=0.0008 bridge_state_identity_max_abs_diff=0.0011
step=450 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=1.7046 expected_ce=1.7046 target_mean_loops=2.0000 target_loop_abs_error=0.1500 loss=1.7046 pre_clip_bridge_prelude_grad_rms=0.0276 pre_clip_bridge_state_grad_rms=0.0363 bridge_prelude_grad_rms=0.0001 bridge_state_grad_rms=0.0001 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0002 bridge_prelude_weight_max_abs=0.0008 bridge_state_identity_max_abs_diff=0.0011
step=475 scheduled_loops=2 forward_loops=2 mean_expected_loops=1.8500 mean_halt_entropy=0.4228 target_loop_ce=0.0000 expected_ce=0.0000 target_mean_loops=1.0000 target_loop_abs_error=0.8500 loss=0.0000 pre_clip_bridge_prelude_grad_rms=0.0000 pre_clip_bridge_state_grad_rms=0.0000 bridge_prelude_grad_rms=0.0000 bridge_state_grad_rms=0.0000 bridge_prelude_grad_multiplier=1.0000 bridge_prelude_weight_rms=0.0002 bridge_prelude_weight_max_abs=0.0008 bridge_state_identity_max_abs_diff=0.0010
saved_checkpoint=outputs/stage5/stage5_synthetic_depth_staged_staircase_20260701_180040/train/depth_le2/unfrozen_recurrent_step_500.pt
training_summary=outputs/stage5/stage5_synthetic_depth_staged_staircase_20260701_180040/train/depth_le2/train_unfrozen_recurrent_summary.json
